이름,카테고리,예정금액,지출금액,계약금,계약금지급일,잔금,잔금지급일,메모
웨딩홀,🏰웨딩홀,0,0,0,,0,,
스튜디오,👗스드메,0,0,0,,0,,
드레스,👗스드메,0,0,0,,0,,
메이크업,👗스드메,0,0,0,,0,,
스튜디오수정비,👗스드메,0,0,0,,0,,
신랑예복,🤵🏻예복,0,0,0,,0,,
신랑구두,🤵🏻예복,0,0,0,,0,,
예물(반지),💍예물예단,0,0,0,,0,,
예단,💍예물예단,0,0,0,,0,,
본식스냅,📷본식스냅영상,0,0,0,,0,,
본식영상,📷본식스냅영상,0,0,0,,0,,
스튜디오 헬퍼,📷본식스냅영상,0,0,0,,0,,
사진보정 (사설),📷본식스냅영상,0,0,0,,0,,
스냅촬영,🎞️스냅촬영,0,0,0,,0,,
피부관리,💄관리비용,0,0,0,,0,,
모바일청첩장,👥청첩장모임,0,0,0,,0,,
혼주한복,👥청첩장모임,0,0,0,,0,,
혼주한복헬퍼,👥청첩장모임,0,0,0,,0,,
본식 헬퍼,👥청첩장모임,0,0,0,,0,,
선물답례,🎁선물답례,0,0,0,,0,,
신혼여행 (숙소),✈️신혼여행,0,0,0,,0,,
신혼여행 (스냅),✈️신혼여행,0,0,0,,0,,
냉장고,🔌가전,0,0,0,,0,,
세탁기,🔌가전,0,0,0,,0,,
건조기,🔌가전,0,0,0,,0,,
TV,🔌가전,0,0,0,,0,,
공기청정기,🔌가전,0,0,0,,0,,
정수기,🔌가전,0,0,0,,0,,
식세기,🔌가전,0,0,0,,0,,
오븐,🔌가전,0,0,0,,0,,
전자레인지,🔌가전,0,0,0,,0,,
청소기,🔌가전,0,0,0,,0,,
스타일러,🔌가전,0,0,0,,0,,
선풍기,🔌가전,0,0,0,,0,,
가습기,🔌가전,0,0,0,,0,,
침대,🛏️가구,0,0,0,,0,,
소파,🛏️가구,0,0,0,,0,,
소파테이블,🛏️가구,0,0,0,,0,,
식탁,🛏️가구,0,0,0,,0,,
식탁의자,🛏️가구,0,0,0,,0,,
책상,🛏️가구,0,0,0,,0,,
책상의자,🛏️가구,0,0,0,,0,,
화장대,🛏️가구,0,0,0,,0,,
화장대의자,🛏️가구,0,0,0,,0,,
신발장,🛏️가구,0,0,0,,0,,
수납장,🛏️가구,0,0,0,,0,,
인테리어,🛠️인테리어,0,0,0,,0,,
그릇 (밥 국 접시),🧴생활용품,0,0,0,,0,,
수건,🧴생활용품,0,0,0,,0,,
화장실청소도구,🧴생활용품,0,0,0,,0,,
휴지통,🧴생활용품,0,0,0,,0,,
기타,✨기타,0,0,0,,0,,
